time,static_pressure,total_pressure,position_z
488.821,88196.7,88202.87392334575,1157.738
488.999,88203.2,88209.37437835713,1157.122
489.176,88209.79999999999,88215.97484036865,1156.506
489.354,88216.4,88223.87215510856,1155.889
489.532,88222.79999999999,88228.97575039142,1155.282
489.715,88229.4,88235.57621240297,1154.659
489.895,88236.0,88242.17667441453,1154.041
490.073,88242.6,88248.77713642608,1153.425
490.251,88249.1,88255.27759143745,1152.81
490.43,88255.7,88261.87805344899,1152.191
490.608,88262.2,88268.37850846037,1151.575
490.786,88268.8,88274.97897047193,1150.961
490.964,88275.40000000001,88282.87715255974,1150.343
491.142,88281.9,88289.37770312639,1149.729
491.321,88288.3,88294.48033550606,1149.121
491.505,88295.0,88301.18080451777,1148.5
491.686,88301.59999999999,88307.78126652932,1147.878
491.863,88308.1,88314.2817215407,1147.262
492.04,88314.59999999999,88322.08047290017,1146.648
492.219,88321.2,88327.38263856362,1146.034
492.398,88327.70000000001,88333.88309357502,1145.418
492.577,88334.3,88340.48355558656,1144.799
492.755,88340.9,88347.0840175981,1144.184
492.933,88347.40000000001,88354.88325114422,1143.57
493.111,88353.9,88360.08492762085,1142.96
493.293,88360.5,88366.6853896324,1142.337
493.471,88367.1,88373.28585164396,1141.722
493.649,88373.6,88379.78630665533,1141.106
493.827,88380.1,88386.2867616667,1140.492
494.327,88398.40000000001,88404.58804269873,1138.77
494.506,88405.0,88412.4881300118,1138.153
494.683,88411.5,88417.68895972165,1137.543
494.864,88418.1,88424.2894217332,1136.924
495.042,88424.59999999999,88430.78987674457,1136.31
495.221,88431.2,88437.39033875613,1135.695
495.4,88437.7,88443.8907937675,1135.077
495.578,88444.3,88450.49125577905,1134.463
495.756,88450.8,88458.29200938914,1133.846
495.933,88457.3,88463.4921658018,1133.24
496.116,88463.9,88470.09262781334,1132.62
496.295,88470.5,88476.6930898249,1132.001
496.472,88477.0,88483.19354483628,1131.387
496.65,88483.5,88489.69399984766,1130.773
496.829,88490.09999999999,88496.29446185919,1130.156
497.006,88496.6,88502.79491687058,1129.541
497.183,88503.09999999999,88509.29537188195,1128.928
497.361,88509.7,88515.8958338935,1128.313
497.539,88516.2,88522.39628890487,1127.699
497.717,88522.7,88528.89674391625,1127.086
497.897,88529.3,88535.49720592781,1126.468
498.074,88535.79999999999,88541.99766093916,1125.853
498.251,88542.4,88549.89976814383,1125.239
498.429,88548.90000000001,88555.09857796211,1124.628
498.608,88555.4,88561.59903297348,1124.012
498.787,88562.0,88568.19949498503,1123.395
498.965,88568.5,88574.6999499964,1122.781
499.142,88575.09999999999,88581.30041200794,1122.167
499.32,88581.6,88587.80086701934,1121.553
499.497,88588.09999999999,88594.30132203069,1120.937
499.674,88594.7,88602.20419808784,1120.323
499.852,88601.2,88607.40223905363,1119.713
500.031,88607.7,88613.90269406501,1119.095
500.209,88614.3,88621.80585825807,1118.48
500.386,88620.8,88628.30640882472,1117.87
500.566,88627.3,88633.50406609931,1117.258
500.746,88633.90000000001,88640.10452811087,1116.639
500.924,88640.4,88646.60498312222,1116.024
501.101,88646.90000000001,88653.10543813361,1115.412
501.28,88653.5,88659.70590014516,1114.796
501.457,88660.0,88666.20635515654,1114.182
501.634,88666.5,88672.7068101679,1113.568
501.811,88673.0,88679.20726517928,1112.956
501.989,88679.6,88685.80772719084,1112.343
502.168,88686.1,88693.61193990204,1111.727
502.346,88692.6,88698.80863721359,1111.117
502.525,88699.1,88706.61304103535,1110.501
502.703,88705.6,88711.80954723633,1109.891
502.883,88712.2,88719.7141506389,1109.272
503.061,88718.7,88724.91046425926,1108.662
503.239,88725.3,88731.51092627081,1108.048
503.418,88731.8,88738.01138128218,1107.431
503.595,88738.3,88745.81636137578,1106.818
503.773,88744.8,88751.01229130493,1106.212
503.954,88751.4,88757.61275331647,1105.591
504.131,88757.9,88764.11320832785,1104.978
504.309,88764.4,88770.61366333923,1104.364
504.486,88771.0,88777.21412535079,1103.751
504.663,88777.5,88783.71458036215,1103.14
504.841,88784.0,88790.21503537353,1102.528
505.021,88790.5,88796.7154903849,1101.912
505.199,88797.0,88803.21594539628,1101.3
505.377,88803.59999999999,88809.81640740782,1100.686
505.554,88810.1,88816.31686241922,1100.072
505.731,88816.6,88822.81731743058,1099.461
505.91,88823.1,88829.31777244197,1098.846
506.087,88829.7,88835.91823445351,1098.233
506.264,88836.2,88842.41868946487,1097.62
506.441,88842.7,88848.91914447625,1097.008
506.619,88849.2,88855.41959948764,1096.396
506.797,88855.7,88861.920054499,1095.785
506.976,88862.2,88868.42050951038,1095.169
507.154,88868.8,88875.02097152194,1094.556
507.331,88875.3,88882.8279656268,1093.944
507.508,88881.7,88887.92187454451,1093.335
507.689,88888.3,88894.52233655607,1092.718
507.866,88894.8,88901.02279156743,1092.105
508.043,88901.3,88907.52324657881,1091.494
508.22,88907.9,88914.12370859036,1090.88
508.397,88914.4,88920.62416360172,1090.268
508.575,88920.9,88927.1246186131,1089.657
508.753,88927.4,88933.62507362448,1089.044
508.931,88933.90000000001,88940.12552863586,1088.431
509.109,88940.4,88946.62598364723,1087.82
509.287,88947.0,88953.22644565879,1087.205
509.464,88953.4,88959.62689366998,1086.595
509.642,88960.0,88966.22735568153,1085.981
509.819,88966.5,88972.72781069292,1085.369
509.996,88973.0,88979.22826570428,1084.756
510.173,88979.5,88987.03679163379,1084.144
510.35,88986.0,88992.22917572703,1083.539
510.531,88992.5,89000.0378927671,1082.921
510.708,88998.90000000001,89005.13007874961,1082.318
510.891,89005.6,89011.83054776135,1081.696
